id	Cancer1	Cancer2	Normal1	Normal2
ENSG00000007908	1.75387754182	1.59562726324	1.41926883536	1.10909839939
ENSG00000007923	28600.5401972	22066.9784479	18281.0224895	20132.9827887
ENSG00000007933	807.146505973	2847.19006926	989.505377573	2494.14336526
ENSG00000007944	14911.7332784	4122.01339097	5058.00440419	15010.4600906
ENSG00000007952	22.4702126121	30.1132795585	23.195565884	11.776861015
ENSG00000007968	22126.8476423	14683.4204204	11247.0403977	13465.1545243
ENSG00000008018	111961.069711	55493.5246197	38433.4982319	58189.8654129
ENSG00000008056	72.8831974685	52.9471281038	31.3320023644	15.502710707
ENSG00000008083	95853.9026557	84790.7647895	57505.3895343	81064.8960504
ENSG00000008086	32534.0731973	37193.6107641	36592.561529	30967.6816235
ENSG00000008118	0.9896926347	1.28916322527	0.949959356213	0.95827733609
ENSG00000008128	18450.1120321	16692.2827892	22763.9052593	28672.1383179
ENSG00000008130	85865.6574138	69854.8440538	46615.3792127	49442.6560454
ENSG00000008196	0.171363411578	0.167898664714	0.163061958807	0.165128579971
ENSG00000008197	0.119706764175	0.111490214004	0.110015122851	0.110648272644
ENSG00000008226	7817.68346298	3698.29768255	12645.6249235	14664.8660051
ENSG00000008256	574.240862164	3982.15070973	255.879008259	1147.80615409
ENSG00000008277	6413.62872696	20096.6947961	2462.19771429	7976.8273864
ENSG00000008282	3024.92970266	33617.8763615	68689.2133803	11224.6880937
ENSG00000008283	35449.8528083	29396.7640448	25216.6326913	44184.5584477
ENSG00000008294	112864.377036	127126.795825	133212.53297	117874.07778
ENSG00000008300	118938.049231	22969.4490143	4631.02720145	23931.3931049
ENSG00000008311	18312.2328329	7593.30214728	10880.3667423	2904.74772276
ENSG00000008323	47.0304043656	85.4472169663	44.3278682513	119.760249314
ENSG00000008324	8995.98950435	2863.39802545	4888.65974675	3231.78863034
ENSG00000008382	7275.982792	6694.82747202	4255.300708	8299.7459835
ENSG00000008394	1369.07927371	2636.18868392	2308.13092266	2539.2083893
